ticker,price,history_days,ret_5,ret_10,ret_20,ret_60,ret_120,ret_252,above_ma_20,above_ma_60,above_ma_120,avg_turnover_20,volume_ratio_5,volume_ratio_20,breakout_60,distance_to_high_60,breakout_120,momentum_shift_5_20,momentum_shift_20_60,volatility_20,max_drawdown_60,breakout_momentum_score,volume_surge_score,breakout_price_score,momentum_shift_score,breakout_score,code,name,market,lot_cost
8227.TWO,272.0,486,0.3737373737373737,0.6947040498442367,0.8378378378378379,0.4522156730816309,1.268336843425987,0.5774066993224753,0.4845135762041206,0.5930499292303186,0.5762756219941858,614871162.4,7.3384372560121545,4.922286648124303,0.09018036072144286,0.09018036072144286,0.09018036072144286,0.16427791427791422,0.6870992801439609,0.8272441321943818,-0.3939393939393939,97.94762484774664,98.48355663824604,99.39098660170524,99.55542021924484,98.61144945188795,8227,巨有科技,TPEx,272000.0
2305.TW,49.400001525878906,486,0.41142861502511163,0.643926881201184,0.8432836914997297,0.2699228685894701,2.0588236961441204,3.1687763658748462,0.47882057223798835,0.49523285569367737,0.8491196346169121,681666368.6942723,6.3486098033522085,2.369385073687789,0.0941306723448061,0.0941306723448061,0.0941306723448061,0.2006076921501792,0.7533094019699064,0.7552915066744073,-0.3903868916810266,97.22898903775882,95.60901339829476,99.63459196102315,99.73203410475031,97.68057247259439,2305,全友,TWSE,49400.001525878906
6218.TWO,54.099998474121094,486,0.15351805360324589,0.242250273751615,0.4033722320313655,0.35249996185302734,1.0968992276716372,1.6716048629195601,0.2536932683174489,0.4275347668866267,0.4609117969052008,137884724.0120636,2.28566337527036,5.078452148082971,0.09847712637809325,0.09847712637809325,0.09847712637809325,0.052674995595404506,0.28587224474702305,0.5988314265459301,-0.2739726398331148,95.87697929354447,95.99269183922047,99.87819732034104,95.56029232643118,96.65864799025579,6218,豪勉,TPEx,54099.998474121094
6226.TW,39.900001525878906,486,0.34569990014241747,0.16837480946062744,0.8732395753543325,1.642384140257573,2.2048194487670445,4.533980764878542,0.29988601735587816,0.6116871559106585,1.1214471696668564,720389095.2052141,1.8489546205467873,1.2782991250539049,0.09917361885624865,0.09917361885624865,0.09917361885624865,0.12739000630383435,0.32577819526847485,1.148591854797353,-0.3525179678421012,99.59805115712547,86.01705237515226,100.0,98.01461632155909,96.04567600487212,6226,光鼎,TWSE,39900.001525878906
3441.TWO,186.0,486,0.2961672473867596,0.33333333333333326,1.1016949152542375,1.059800594839285,5.215177725246858,4.292476192760785,0.3555369295861348,0.908964948999949,1.5784188135112713,2775518726.944045,1.7828490955783745,1.0528710652256517,0.09734513274336276,0.09734513274336276,0.09734513274336276,0.020743518573200226,0.7484280503078091,0.9914164870399476,-0.31357760055878736,99.7076735688185,82.92326431181486,99.7563946406821,93.84896467722291,94.64250913520098,3441,聯一光,TPEx,186000.0
2468.TW,43.650001525878906,486,0.3451463944410986,0.2991072472666445,0.2986109818594176,0.21601995012256814,0.21437671131110303,-0.12070566787675507,0.249994940794791,0.2634557753375766,0.2619960822710137,132942759.76494007,45.89214216536166,6.2810177295746445,0.009248590193732031,0.009248590193732031,-0.00040184548412158794,0.2704936489762442,0.22660433181856154,0.6287513343886041,-0.18967740320662307,88.36784409257004,99.62241169305724,96.63824604141291,96.9305724725944,94.11997563946407,2468,華經,TWSE,43650.001525878906
2221.TWO,105.5,486,0.20159449126451734,0.26802889266486885,1.0057034802368943,1.199656405492422,2.458601122111683,2.85037198587028,0.29360554348224244,0.7751460577192859,1.1594508827659982,395576374.43974817,2.8810269691875114,13.5618965812069,0.09326424870466332,0.09326424870466332,0.09326424870466332,-0.04983137879470623,0.6058180117394203,0.8146076072968762,-0.2791096340046286,99.58587088915957,97.14372716199756,99.51278928136419,58.24604141291109,92.75974421437272,2221,大甲,TPEx,105500.0
6227.TWO,133.0,486,0.1367521367521367,0.14655172413793105,0.181623861668899,0.15690373361884213,0.5746012706048764,0.4401041546193829,0.13165582304492052,0.15685172828819005,0.2087940117718654,139947071.84505615,5.148202107583064,2.394040935810422,0.0037735849056603765,0.0037735849056603765,0.0037735849056603765,0.09134617133491196,0.12932261712928494,0.6645457536876592,-0.1606425876768991,88.13641900121803,95.65773447015835,96.34591961023142,91.72350791717417,92.19671132764921,6227,茂綸,TPEx,133000.0
6870.TWO,316.0,486,0.09342560553633228,0.08219178082191791,0.20841300191204581,0.29320081216207394,0.8675746004004901,0.7217601624738756,0.12096488116353332,0.18589344062946567,0.3570537776202001,37024285.975,3.379125489464852,1.8861595652323566,-0.03951367781155013,-0.03951367781155013,-0.03951367781155013,0.041322355058320825,0.11067939785802117,0.6110922280311732,-0.24917344761404125,92.03410475030451,93.16686967113276,88.13641900121803,87.71619975639464,90.8900730816078,6870,騰雲,TPEx,316000.0
6148.TWO,36.650001525878906,486,0.29276899586337457,0.30892862592424675,0.32789858765673174,0.11229137108552156,0.07061964945249799,-0.23986001670039503,0.24744729414859568,0.24058564653565062,0.18908736508069635,55192510.47371273,49.09862682503659,4.203270812349116,-0.02266662597656255,-0.02266662597656255,-0.04805190841872975,0.21079434894919163,0.2904681306282246,0.6112396638327984,-0.258823506972369,83.25822168087699,98.9768574908648,89.54933008526187,98.0694275274056,90.6677831912302,6148,驊宏資,TPEx,36650.001525878906
