ticker,price,history_days,ret_5,ret_10,ret_20,ret_60,ret_120,ret_252,above_ma_20,above_ma_60,above_ma_120,avg_turnover_20,volume_ratio_5,volume_ratio_20,breakout_60,distance_to_high_60,breakout_120,momentum_shift_5_20,momentum_shift_20_60,volatility_20,max_drawdown_60,ignition_short_momentum,ignition_volume,ignition_shift,ignition_price_position,late_chase_penalty,ignition_score,volume_surge_flag,early_price_flag,early_stage_flag,near_high_flag,not_extended_flag,momentum_shift_flag,breakout_flag,ignition_qualified,ignition_signal_count,code,name,market,lot_cost
1560.TW,815.0,486,0.11186903137789894,0.14627285513361454,0.167621776504298,0.1239241863603695,0.7855596956797029,1.4310063564461686,0.13320355951056717,0.15917239027653451,0.24596590299772036,887789580.0,1.871465593776753,0.8162134351160424,0.03164556962025311,0.03164556962025311,0.03164556962025311,0.06996358725182444,0.12631371438417482,0.6651069179996177,-0.23809834284682874,92.90108564535585,92.2798552472859,90.81423401688781,97.58745476477684,0.0,92.895958986731,True,True,True,True,True,True,True,True,7,1560,中砂,TWSE,815000.0
2254.TW,75.19999694824219,486,0.14634144355823797,0.2129031765845515,0.24297515616929233,0.28109022096844827,0.04589701463602225,0.23887967056098858,0.1705190680786841,0.22365954017736556,0.17728400674178246,67205981.73485795,2.665825144416339,180.86633333333333,0.013477089503083794,0.013477089503083794,-0.1265970002212613,0.08559765451591489,0.14927841584647622,0.333142023913156,-0.054838734288369495,95.60916767189384,95.05428226779252,93.1664656212304,95.6574185765983,2.107315484659038,92.73194868904423,True,True,True,True,True,True,True,True,7,2254,巨鎧精密-創,TWSE,75199.99694824219
2801.TW,29.600000381469727,486,0.10242085515566268,0.11278195326981577,0.24109014289439878,0.33448764765297057,0.5223524682358578,0.6165186526050357,0.12772645893521295,0.22932371624018577,0.34249976138592886,788178174.0730722,2.1378926590109253,0.9454365257475259,0.02422148000620128,0.02422148000620128,0.02422148000620128,0.042148319432062986,0.1295942603434086,0.2791363954883942,-0.03646170172800467,92.91917973462003,93.84800965018094,87.72617611580218,97.1049457177322,0.0,92.52744270205066,True,True,True,True,True,True,True,True,7,2801,彰銀,TWSE,29600.000381469727
6870.TWO,322.0,486,0.12390924956369975,0.11805555555555558,0.23371647509578541,0.3153328969790141,0.8780606626301333,0.6875969899206855,0.1300228110194772,0.20260383838355978,0.37541038946999183,38245967.375,3.4530823976653835,2.0359855534733273,-0.021276595744680882,-0.021276595744680882,-0.021276595744680882,0.0654801307897534,0.12860550943611404,0.6101044377772369,-0.24917344761404125,93.48612786489747,96.38118214716526,90.19300361881784,87.81664656212304,0.31273996509598057,92.36820092754574,True,True,True,True,True,True,False,True,6,6870,騰雲,TPEx,322000.0
6227.TWO,137.5,486,0.18534482758620685,0.2168141592920354,0.21125109137538067,0.17635908820682777,0.6523424657257944,0.5188909021954407,0.15812928986947838,0.192429897593561,0.24457601360474213,171916901.2088684,6.943399924469039,2.8672508447079337,0.03383458646616533,0.03383458646616533,0.03383458646616533,0.13253205474236168,0.15246472863977142,0.6702521457189936,-0.1606425876768991,95.72376357056694,98.19059107358264,94.6260554885404,97.82870928829915,5.227586206896548,91.2775404517283,True,True,True,True,True,True,True,True,7,6227,茂綸,TPEx,137500.0
6199.TWO,105.0,486,0.07913665680098947,0.10294121182678007,0.11583423700986106,0.050000000000000044,-0.03669724770642202,-0.0625,0.08949416342412442,0.06148169529041714,0.05879683746181086,167638197.87615052,3.230955619178921,2.9617602089460418,-0.014084507042253502,-0.014084507042253502,-0.09482758620689657,0.0501780975485242,0.09916757034319439,0.16274175829177917,-0.13333330467833038,89.20989143546441,95.89867310012062,86.2605548854041,89.50542822677924,0.0,90.52352231604343,True,True,True,True,True,True,False,True,6,6199,天品,TPEx,105000.0
3311.TW,37.0,486,0.1616954334960239,0.16535433070866135,0.16719240093068977,-0.004164523418642263,0.14437719681076544,0.05301928602734418,0.11462569728151228,0.09125867074575655,0.09346499388627105,21687566.213159274,14.977639923805151,2.9745054471492045,-0.041450739310101126,-0.041450739310101126,-0.08976291467221775,0.11989733326335145,0.16858057540357052,0.45053876253180575,-0.18652847513499182,94.17973462002413,98.91435464414958,94.90952955367914,81.0615199034982,3.3356346796819114,90.4792024735147,True,True,True,True,True,True,False,True,6,3311,閎暉,TWSE,37000.0
6811.TWO,249.5,486,0.1315192743764173,0.13409090909090904,0.10398230088495586,0.20531400966183577,0.39209193005941945,0.016362324826679764,0.08868768408421501,0.09839313229143731,0.16906804524032526,59975564.8,7.62592287898266,1.216094098887473,-0.005976095617529875,-0.005976095617529875,-0.005976095617529875,0.10552369915517834,0.03554429766434393,0.3998832507275008,-0.12627291242362526,91.59227985524728,98.31121833534378,82.01447527141134,91.55609167671895,0.9215419501133848,90.28654007642461,True,True,True,True,True,True,False,True,6,6811,宏碁資訊,TPEx,249500.0
3580.TWO,94.5999984741211,486,0.09744781697524418,0.10643273069147474,0.20817362435591047,0.007917732448046833,0.3221101112000735,0.41376071829753225,0.12311526249326832,0.12260435940654513,0.07486931895703997,41856565.344797894,3.765552920193292,1.3954310301725532,-0.06798031059979215,-0.06798031059979215,-0.1517435303347502,0.045404410886266566,0.20553438020656153,0.5035965490649263,-0.3497536945812808,91.9903498190591,96.86369119420989,90.78407720144753,72.61761158021713,0.0,90.24487334137515,True,True,True,False,True,True,False,True,5,3580,友威科,TPEx,94599.9984741211
6706.TW,145.0,486,0.15999999999999992,0.20331950207468874,0.23931623931623935,-0.06451612903225812,0.1462450592885376,1.3311896820167752,0.12928348909657306,0.17047182098696356,0.0169848152739549,679264289.775,9.585419441163278,2.995298044017235,-0.06451612903225812,-0.06451612903225812,-0.3302540415704388,0.10017094017094008,0.2608216156603254,0.6615731399973994,-0.4253246753246753,95.50663449939685,98.67310012062727,96.3872135102533,73.94451145958986,3.199999999999994,90.24240048250904,True,True,True,False,True,True,False,True,5,6706,惠特,TWSE,145000.0
